	I          ^-^o━━━━━━━━━━更多直播源o^-^       ━━━━━━━I    

                   			如何做到找源不再求人，自己更新

                    				 尽在微信公众号【播吗影视】

						   bom_player   
                   
    				 输入关键词【直播源】这三个字即可下载最新直播源  你懂得！  

                        			 每日更新

 					QQ群 230441911欢迎大家的加入每日更新源

                                  方便视频爱好者们每日下载――最新最给力直播源

                   I                  ^-^o━━━━━━━━━━每日更新o^-^        I   

CCTV1综合	,http://183.252.176.66//PLTV/88888888/224/3221225922/index.m3u8
CCTV2财经	,http://183.252.176.47//PLTV/88888888/224/3221225923/index.m3u8
CCTV3综艺	,http://223.110.243.150/PLTV/3/224/3221225588/index.m3u8
CCTV4中文国际	,http://61.166.153.32:1180/play/playback/90000001000000050000000000000199/live100001.m3u8
CCTV5体育	,http://223.110.245.136/PLTV/3/224/3221227166/index.m3u8
CCTV5+体育赛事	,http://183.252.176.40//PLTV/88888888/224/3221225939/index.m3u8
CCTV6电影	,http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8
CCTV7军事农业	,http://183.252.176.60//PLTV/88888888/224/3221225927/index.m3u8
CCTV8电视剧	,http://223.110.245.150/PLTV/3/224/3221227204/index.m3u8
CCTV9记录	,http://183.252.176.36//PLTV/88888888/224/3221225929/index.m3u8
CCTV10科教	,http://183.252.176.12//PLTV/88888888/224/3221225931/index.m3u8
CCTV11戏曲	,http://183.207.249.10/PLTV/3/224/3221225552/index.m3u8
CCTV12社会与法	,http://183.252.176.48//PLTV/88888888/224/3221225932/index.m3u8
CCTV13新闻	,http://183.207.249.14/PLTV/3/224/3221225560/index.m3u8
CCTV14少儿	,http://183.252.176.22//PLTV/88888888/224/3221225933/index.m3u8
CCTV15音乐	,http://223.110.245.172//PLTV/3/224/3221225568/index.m3u8
CGTN	,http://183.251.61.220//PLTV/88888888/224/3221225822/index.m3u8
CGTN Documentary	,http://183.207.249.14/PLTV/3/224/3221225572/index.m3u8
CHC高清电影	,http://zzcs1.ott.henancatv.com/mlive/172_30_100_78_/cdn_proxy/os_ott_henancatv_com/live/CHC-HD/3.m3u8
CHC家庭影院	,http://zzcs1.ott.henancatv.com/mlive/172_30_100_78_/cdn_proxy/os_ott_henancatv_com/live/CHC-JT/3.m3u8
CHC动作电影	,http://zzcs1.ott.henancatv.com/mlive/172_30_100_78_/cdn_proxy/os_ott_henancatv_com/live/CHC-DZ/3.m3u8
动漫秀场	,http://azure3a-live.bestvcdn.com.cn/live/program/Dbst.mobile.live.bestvcdn.com.cnD/_sqnsnpoc_keyE198F63AB3AE34AB1098776A98D2F421D50A36E8D21B463C00CA2F942A257F56_/live/dmxchd/2300000/d1.m3u8
都市剧场	,http://azure3a-live.bestvcdn.com.cn/live/program/Dbst.mobile.live.bestvcdn.com.cnD/_teivfwfk_keyE198F63AB3AE34AB1098776A98D2F421D50A36E8D21B463C00CA2F942A257F56_/live/dsjchd/2300000/d1.m3u8
欢笑剧场	,http://azure3a-live.bestvcdn.com.cn/live/program/Dbst.mobile.live.bestvcdn.com.cnD/_jrwjcatl_keyE198F63AB3AE34AB1098776A98D2F421D50A36E8D21B463C00CA2F942A257F56_/live/hxjchd/2300000/d1.m3u8
